date,adjclose
2017-10-20,362.3999938964844
2017-10-23,368.25
2017-10-24,362.1000061035156
2017-10-25,362.54998779296875
2017-10-26,354.8999938964844
2017-10-27,354.1499938964844
2017-10-30,352.6499938964844
2017-10-31,361.3500061035156
2017-11-01,350.54998779296875
2017-11-02,352.95001220703125
2017-11-03,356.25
2017-11-06,364.20001220703125
2017-11-07,402.6000061035156
2017-11-08,454.5
2017-11-09,476.1000061035156
2017-11-10,487.5
2017-11-13,556.5
2017-11-14,593.4000244140625
2017-11-15,646.0499877929688
2017-11-16,673.9500122070312
2017-11-17,674.8499755859375
2017-11-20,696.0
2017-11-21,749.7000122070312
2017-11-22,746.25
2017-11-24,788.8499755859375
2017-11-27,779.5499877929688
2017-11-28,781.7999877929688
2017-11-29,812.0999755859375
2017-11-30,809.8499755859375
2017-12-01,800.0999755859375
2017-12-04,760.9500122070312
2017-12-05,778.7999877929688
2017-12-06,745.3499755859375
2017-12-07,822.4500122070312
2017-12-08,809.5499877929688
2017-12-11,828.1500244140625
2017-12-12,823.0499877929688
2017-12-13,849.4500122070312
2017-12-14,825.75
2017-12-15,853.5
2017-12-18,853.5
2017-12-19,855.75
2017-12-20,868.2000122070312
2017-12-21,861.2999877929688
2017-12-22,869.8499755859375
2017-12-26,900.0
2017-12-27,885.5999755859375
2017-12-28,907.5
2017-12-29,895.7999877929688
2018-01-02,864.75
2018-01-03,867.9000244140625
2018-01-04,875.0999755859375
2018-01-05,866.4000244140625
2018-01-08,861.0
2018-01-09,1020.4500122070312
2018-01-10,1033.5
2018-01-11,1048.199951171875
2018-01-12,1080.0
2018-01-16,1046.0999755859375
2018-01-17,1041.0
2018-01-18,1052.4000244140625
2018-01-19,1073.8499755859375
2018-01-22,1151.699951171875
2018-01-23,1166.8499755859375
2018-01-24,1147.949951171875
2018-01-25,1183.949951171875
2018-01-26,1185.449951171875
2018-01-29,1235.8499755859375
2018-01-30,1236.75
2018-01-31,1254.1500244140625
2018-02-01,1331.0999755859375
2018-02-02,1320.0
2018-02-05,1236.5999755859375
2018-02-06,1180.949951171875
2018-02-07,1148.550048828125
2018-02-08,1119.75
2018-02-09,1119.5999755859375
2018-02-12,1180.5
2018-02-13,1134.9000244140625
2018-02-14,1260.0
2018-02-15,1232.0999755859375
2018-02-16,1251.449951171875
2018-02-20,1251.75
2018-02-21,1296.75
2018-02-22,1323.1500244140625
2018-02-23,1344.0
2018-02-26,1358.4000244140625
2018-02-27,1350.75
2018-02-28,1298.4000244140625
2018-03-01,1268.25
2018-03-02,1543.050048828125
2018-03-05,1531.199951171875
2018-03-06,1471.3499755859375
2018-03-07,1519.5
2018-03-08,1626.5999755859375
2018-03-09,1625.0999755859375
2018-03-12,1546.050048828125
2018-03-13,1547.4000244140625
2018-03-14,1567.6500244140625
2018-03-15,1530.1500244140625
2018-03-16,1545.0
2018-03-19,1575.1500244140625
2018-03-20,1608.0
2018-03-21,1603.6500244140625
2018-03-22,1560.1500244140625
2018-03-23,1545.0
2018-03-26,1605.449951171875
2018-03-27,1567.6500244140625
2018-03-28,1575.1500244140625
2018-03-29,1593.9000244140625
2018-04-02,1481.550048828125
2018-04-03,1490.4000244140625
2018-04-04,1527.75
2018-04-05,1521.5999755859375
2018-04-06,1408.050048828125
2018-04-09,1566.75
2018-04-10,1541.0999755859375
2018-04-11,1541.550048828125
2018-04-12,1556.0999755859375
2018-04-13,1507.5
2018-04-16,1402.050048828125
2018-04-17,1405.6500244140625
